,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Kevin Durant,35:31,11,30,.367,2,8,.250,6,6,1.000,0,4,4,6,1,0,1,1,30,-1,Phoenix Suns,Toronto Raptors,2023-11-29
1,Eric Gordon,33:41,4,9,.444,2,5,.400,0,0,,0,1,1,1,1,0,0,2,10,-9,Phoenix Suns,Toronto Raptors,2023-11-29
2,Devin Booker,32:30,2,12,.167,0,4,.000,4,4,1.000,0,5,5,5,0,0,2,3,8,-15,Phoenix Suns,Toronto Raptors,2023-11-29
3,Jusuf Nurkić,29:44,8,12,.667,1,1,1.000,2,2,1.000,1,13,14,6,0,2,2,3,19,+2,Phoenix Suns,Toronto Raptors,2023-11-29
4,Josh Okogie,23:33,2,4,.500,0,0,,6,6,1.000,4,3,7,2,0,0,0,1,10,+1,Phoenix Suns,Toronto Raptors,2023-11-29
6,Jordan Goodwin,22:57,4,8,.500,1,3,.333,0,0,,3,3,6,4,0,0,2,2,9,+3,Phoenix Suns,Toronto Raptors,2023-11-29
7,Drew Eubanks,18:15,2,6,.333,0,0,,0,0,,1,3,4,1,0,1,0,0,4,-9,Phoenix Suns,Toronto Raptors,2023-11-29
8,Yuta Watanabe,15:54,0,5,.000,0,3,.000,1,2,.500,1,0,1,0,1,2,1,0,1,+4,Phoenix Suns,Toronto Raptors,2023-11-29
9,Chimezie Metu,14:54,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,1,3,5,-4,Phoenix Suns,Toronto Raptors,2023-11-29
10,Keita Bates-Diop,12:58,3,5,.600,0,1,.000,3,3,1.000,2,1,3,0,0,0,0,0,9,-7,Phoenix Suns,Toronto Raptors,2023-11-29
11,Udoka Azubuike,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bol Bol,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Saben Lee,0:0,Phoenix Suns,Toronto Raptors,2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
