,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Max Strus,38:58,9,17,.529,7,13,.538,2,2,1.000,0,12,12,2,1,1,0,4,27,+13
1,Donovan Mitchell,35:44,11,21,.524,4,10,.400,1,1,1.000,2,3,5,6,4,1,0,1,27,+7
2,Evan Mobley,33:37,5,11,.455,0,0,,0,0,,1,5,6,1,0,2,0,3,10,+3
3,Darius Garland,32:20,6,12,.500,1,5,.200,2,2,1.000,1,1,2,5,2,0,6,2,15,+6
4,Isaac Okoro,31:38,6,10,.600,2,4,.500,4,5,.800,3,3,6,4,2,1,2,5,18,+5
5,player,,,,,,,,,,,,,,,,,,,,
6,Caris LeVert,31:22,4,17,.235,3,8,.375,0,0,,0,3,3,5,1,1,0,1,11,-6
7,Georges Niang,19:46,0,3,.000,0,3,.000,0,0,,2,2,4,0,0,0,0,3,0,-9
8,Damian Jones,11:05,2,2,1.000,0,0,,0,0,,0,0,0,2,0,0,2,3,4,-7
9,Ty Jerome,5:30,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-7
10,Emoni Bates,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Sam Merrill,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Isaiah Mobley,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Tristan Thompson,Did Not Play,,,,,,,,,,,,,,,,,,,
