,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Bojan Bogdanović,38:49,5,13,.385,2,7,.286,7,9,.778,2,6,8,4,2,0,4,4,19,0,Detroit Pistons,Brooklyn Nets,2023-12-23
1,Jaden Ivey,35:11,6,11,.545,3,6,.500,8,10,.800,0,6,6,7,0,2,3,4,23,+6,Detroit Pistons,Brooklyn Nets,2023-12-23
2,Cade Cunningham,33:24,9,20,.450,1,5,.200,3,4,.750,0,3,3,6,0,0,2,4,22,-5,Detroit Pistons,Brooklyn Nets,2023-12-23
3,Isaiah Stewart,32:39,8,9,.889,4,5,.800,0,0,,1,4,5,5,1,1,0,5,20,-2,Detroit Pistons,Brooklyn Nets,2023-12-23
4,Ausar Thompson,31:02,2,7,.286,1,3,.333,2,3,.667,1,4,5,2,1,0,0,2,7,-4,Detroit Pistons,Brooklyn Nets,2023-12-23
6,Kevin Knox,24:00,5,6,.833,3,3,1.000,1,1,1.000,0,1,1,0,0,0,0,2,14,-11,Detroit Pistons,Brooklyn Nets,2023-12-23
7,Alec Burks,16:25,2,8,.250,1,5,.200,0,0,,0,1,1,2,1,0,1,2,5,-20,Detroit Pistons,Brooklyn Nets,2023-12-23
8,Marvin Bagley III,15:21,2,4,.500,0,0,,1,2,.500,2,3,5,0,0,0,1,0,5,-9,Detroit Pistons,Brooklyn Nets,2023-12-23
9,Joe Harris,6:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5,Detroit Pistons,Brooklyn Nets,2023-12-23
10,Marcus Sasser,6:17,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,2,0,-5,Detroit Pistons,Brooklyn Nets,2023-12-23
11,Killian Hayes,0:0,Detroit Pistons,Brooklyn Nets,2023-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Isaiah Livers,0:0,Detroit Pistons,Brooklyn Nets,2023-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,James Wiseman,0:0,Detroit Pistons,Brooklyn Nets,2023-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
