,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Julius Randle,39:01,14,23,.609,2,6,.333,2,2,1.000,3,9,12,6,1,1,2,4,32,+13
1,Jalen Brunson,39:01,6,19,.316,0,6,.000,11,16,.688,2,5,7,8,2,0,3,4,23,+9
2,Donte DiVincenzo,26:58,6,13,.462,4,9,.444,5,7,.714,3,4,7,1,4,0,0,2,21,+12
3,RJ Barrett,24:18,3,16,.188,0,7,.000,3,4,.750,1,5,6,2,0,0,0,2,9,-4
4,Jericho Sims,17:59,2,2,1.000,0,0,,0,0,,1,1,2,0,0,1,1,2,4,-8
5,player,,,,,,,,,,,,,,,,,,,,
6,Isaiah Hartenstein,29:28,3,4,.750,0,0,,1,1,1.000,3,3,6,0,0,2,0,3,7,+5
7,Josh Hart,28:54,0,5,.000,0,4,.000,0,0,,0,2,2,2,1,0,0,2,0,-7
8,Immanuel Quickley,18:26,6,8,.750,3,4,.750,0,0,,1,1,2,1,2,0,1,1,15,-13
9,Quentin Grimes,15:55,1,4,.250,0,3,.000,0,2,.000,0,2,2,1,0,0,1,1,2,-27
10,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Evan Fournier,Did Not Play,,,,,,,,,,,,,,,,,,,
12,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Miles McBride,Did Not Play,,,,,,,,,,,,,,,,,,,
