,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Devin Vassell,35:11,.815,.763,.526,.368,0.0,18.2,9.3,13.4,1.4,2.6,4.3,28.3,154,116,12.2
1,Malaki Branham,32:39,.750,.750,.375,.000,0.0,13.1,6.7,29.7,1.5,2.8,0.0,10.6,170,116,5.7
2,Victor Wembanyama,30:50,.454,.423,.154,.231,10.9,41.5,26.5,19.8,3.2,5.9,12.3,22.8,106,104,-0.5
3,Keldon Johnson,30:44,.504,.469,.500,.125,3.6,3.5,3.5,24.9,0.0,0.0,10.6,26.5,107,124,-5.3
4,Jeremy Sochan,26:57,.527,.500,.300,.100,4.1,27.7,16.2,9.4,1.8,3.4,8.7,18.3,107,112,-5.4
5,player,,,,,,,,,,,,,,,,
6,Cedi Osman,24:56,.682,.682,.545,.000,0.0,8.6,4.4,32.6,0.0,0.0,0.0,19.0,149,123,4.9
7,Zach Collins,18:49,.687,.611,.222,.667,23.7,11.3,17.4,7.4,0.0,0.0,7.9,29.0,142,121,-1.7
8,Doug McDermott,17:24,.750,.750,1.000,.000,0.0,6.1,3.1,0.0,0.0,0.0,20.0,12.4,100,124,-8.5
9,Devonte' Graham,9:43,.000,.000,.500,.000,0.0,11.0,5.6,31.5,0.0,0.0,0.0,8.9,84,123,-11.0
10,Julian Champagnie,9:11,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0,125,-22.5
11,Sandro Mamukelashvili,1:48,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,300,125,44.8
12,Blake Wesley,1:48,,,,,0.0,0.0,0.0,56.7,0.0,0.0,,0.0,238,125,4.8
13,Tre Jones,Did Not Dress,,,,,,,,,,,,,,,
