,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jerami Grant,42:44,5,12,.417,2,5,.400,9,11,.818,0,5,5,9,0,2,1,0,21,+15
1,Malcolm Brogdon,41:27,8,19,.421,3,7,.429,0,0,,1,1,2,6,0,0,2,2,19,+2
2,Anfernee Simons,40:44,13,20,.650,4,9,.444,3,3,1.000,2,4,6,5,0,0,3,3,33,+15
3,Deandre Ayton,40:44,8,13,.615,0,0,,2,2,1.000,6,11,17,3,1,2,1,3,18,+15
4,Jabari Walker,23:46,2,4,.500,1,2,.500,4,4,1.000,1,6,7,1,0,0,2,4,9,+7
5,player,,,,,,,,,,,,,,,,,,,,
6,Scoot Henderson,23:49,4,12,.333,1,5,.200,2,2,1.000,0,1,1,3,0,0,2,0,11,-5
7,Matisse Thybulle,22:22,5,7,.714,3,4,.750,0,0,,1,3,4,1,3,0,1,3,13,-9
8,Toumani Camara,17:07,1,4,.250,0,0,,2,2,1.000,1,3,4,1,2,0,0,3,4,-1
9,Duop Reath,12:16,4,7,.571,1,3,.333,0,0,,1,1,2,2,0,0,0,0,9,-9
10,Ibou Badji,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Taze Moore,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Kris Murray,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Rayan Rupert,Did Not Play,,,,,,,,,,,,,,,,,,,
