Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bam Adebayo,36:07,0.634,0.579,0.0,0.368,5.8,25.3,15.1,6.9,0.0,2.6,4.3,28.5,126.0,120.0,4.7
1,Jaime Jaquez Jr.,35:28,0.714,0.714,0.286,0.0,2.9,6.4,4.6,5.0,2.9,0.0,30.0,12.6,92.0,119.0,-5.4
2,Tyler Herro,35:09,0.265,0.265,0.412,0.0,0.0,13.0,6.2,28.7,0.0,0.0,5.6,22.8,71.0,125.0,-11.4
3,Nikola Jović,24:16,0.5,0.5,1.0,0.0,4.3,14.1,9.0,6.2,0.0,0.0,0.0,5.5,123.0,125.0,-3.9
4,Kyle Lowry,22:59,0.429,0.429,0.857,0.0,4.5,9.9,7.1,28.0,0.0,0.0,36.4,21.3,71.0,125.0,-10.4
6,Josh Richardson,28:59,0.446,0.278,0.667,0.556,3.6,27.6,15.1,37.8,3.5,0.0,0.0,17.2,124.0,113.0,5.9
7,Duncan Robinson,26:31,0.254,0.214,0.857,0.286,0.0,4.3,2.1,16.9,1.9,3.5,27.6,18.3,52.0,119.0,-12.6
8,Kevin Love,20:04,0.859,0.833,0.667,0.667,15.6,22.8,19.0,24.3,0.0,0.0,14.7,30.3,144.0,122.0,15.7
9,Jamal Cain,4:42,0.595,0.5,0.2,0.4,44.4,0.0,23.2,0.0,0.0,0.0,0.0,55.8,134.0,128.0,18.9
10,Thomas Bryant,1:55,0.0,0.0,0.0,0.0,0.0,100.0,56.9,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.3
11,R.J. Hampton,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,0.0,229.0,125.0,-0.2
12,Cole Swider,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.3,0.0,128.0,-35.0
