Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Alperen Şengün,28:44,0.783,0.75,0.143,0.214,4.6,40.1,25.3,34.9,0.0,0.0,11.5,25.3,151.0,101.0,12.6
1,Jalen Green,27:27,0.485,0.5,0.286,0.071,0.0,14.0,8.1,12.3,0.0,0.0,6.5,23.6,100.0,106.0,-7.4
2,Fred VanVleet,24:45,0.714,0.714,0.571,0.0,0.0,7.8,4.5,24.6,0.0,3.3,12.5,13.6,143.0,105.0,2.7
3,Jabari Smith Jr.,24:06,0.583,0.556,0.556,0.111,5.5,8.0,6.9,4.2,0.0,0.0,9.6,18.2,114.0,108.0,-3.0
4,Dillon Brooks,23:41,0.436,0.417,0.333,0.333,0.0,20.3,11.8,0.0,0.0,3.5,0.0,12.2,91.0,102.0,-5.7
6,Amen Thompson,24:09,0.8,0.818,0.091,0.182,5.5,23.9,16.2,21.4,3.8,3.4,14.4,24.1,141.0,93.0,12.0
7,Cam Whitmore,21:23,0.699,0.676,0.412,0.118,18.7,13.5,15.7,6.9,4.3,0.0,10.1,39.0,128.0,97.0,10.0
8,Jae'Sean Tate,17:13,0.5,0.5,0.0,0.0,0.0,5.6,3.2,16.0,2.7,0.0,0.0,4.9,146.0,102.0,2.5
9,Jeff Green,15:16,1.064,1.0,0.0,2.0,0.0,18.9,11.0,6.5,3.0,0.0,34.7,15.8,139.0,98.0,2.1
10,Aaron Holiday,12:07,0.75,0.75,1.0,0.0,0.0,0.0,0.0,15.5,3.8,0.0,50.0,13.8,88.0,101.0,-1.5
11,Reggie Bullock,9:30,0.375,0.375,0.75,0.0,0.0,10.1,5.9,10.1,4.8,0.0,0.0,17.7,92.0,97.0,-0.1
12,Nate Hinton,3:53,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,21.6,99.0,83.0,5.1
13,Boban Marjanović,3:53,1.042,1.0,0.0,1.0,34.3,74.2,57.5,0.0,0.0,0.0,25.8,41.9,152.0,94.0,18.2
14,Jermaine Samuels,3:53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,200.0,109.0,-1.4
15,Jock Landale,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
