Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shai Gilgeous-Alexander,36:03,0.579,0.545,0.136,0.227,3.2,10.5,6.7,32.9,1.4,2.5,7.6,32.0,123.0,131.0,3.4
1,Jalen Williams,35:19,0.658,0.639,0.333,0.222,3.2,14.3,8.5,23.1,1.4,0.0,9.2,27.2,129.0,131.0,3.8
2,Chet Holmgren,30:50,0.745,0.769,0.462,0.308,11.1,20.5,15.6,15.3,4.8,11.5,6.3,22.5,147.0,115.0,15.2
3,Luguentz Dort,30:18,0.536,0.5,0.625,0.375,0.0,4.2,2.0,4.1,1.6,2.9,0.0,13.6,116.0,132.0,-6.1
4,Josh Giddey,26:10,0.5,0.5,0.5,0.0,0.0,14.5,6.9,9.8,0.0,3.4,11.1,15.2,99.0,132.0,-7.7
6,Aaron Wiggins,17:29,0.765,0.8,0.6,0.4,13.1,14.4,13.7,7.9,0.0,0.0,0.0,14.8,164.0,134.0,4.2
7,Cason Wallace,15:37,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,143.0,139.0,-7.8
8,Kenrich Williams,13:23,0.0,0.0,0.5,0.0,8.5,0.0,4.5,16.7,3.7,0.0,20.0,16.5,44.0,130.0,-17.7
9,Jaylin Williams,13:16,0.25,0.25,0.5,0.0,8.6,19.0,13.6,27.6,3.7,6.7,14.3,23.3,80.0,121.0,-4.0
10,Vasilije Micić,10:37,0.0,0.0,1.0,0.0,0.0,11.9,5.7,10.5,0.0,0.0,75.0,16.6,17.0,135.0,-26.1
11,Ousmane Dieng,10:30,1.333,1.333,0.667,0.0,0.0,24.1,11.4,15.6,4.7,8.5,0.0,12.6,263.0,116.0,28.9
12,Lindy Waters III,0:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,-10.5
13,Tre Mann,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aleksej Pokusevski,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
