Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bruce Brown,27:12,1.01,1.0,0.727,0.182,4.0,6.8,5.5,4.2,1.6,0.0,7.8,18.3,172.0,113.0,10.7
1,Tyrese Haliburton,26:54,0.625,0.625,0.375,0.0,0.0,10.3,5.6,49.1,1.6,5.0,15.8,27.3,126.0,108.0,7.1
2,Bennedict Mathurin,25:50,0.537,0.467,0.4,0.267,0.0,14.3,7.7,20.7,3.4,0.0,10.7,28.0,111.0,108.0,-0.3
3,Myles Turner,23:20,0.619,0.625,0.25,0.25,0.0,31.6,17.1,4.5,0.0,8.6,18.4,18.0,99.0,103.0,-5.0
4,Obi Toppin,19:14,0.583,0.556,0.556,0.111,5.7,14.4,10.4,5.4,2.3,0.0,0.0,19.0,127.0,110.0,0.2
6,Buddy Hield,25:06,0.778,0.778,0.778,0.0,0.0,7.4,4.0,20.6,1.7,2.7,10.0,15.4,146.0,111.0,9.0
7,Aaron Nesmith,23:05,0.595,0.5,0.6,0.4,4.7,16.0,10.8,4.0,0.0,2.9,14.5,11.5,117.0,112.0,-6.2
8,Andrew Nembhard,21:36,0.667,0.667,0.111,0.0,5.1,12.8,9.3,52.1,0.0,0.0,18.2,19.7,141.0,115.0,1.1
9,Jalen Smith,13:25,1.009,1.0,0.333,0.167,24.4,34.4,29.8,0.0,3.2,0.0,0.0,18.5,202.0,102.0,12.9
10,Isaiah Jackson,11:15,0.5,0.5,0.0,0.0,9.7,24.6,17.8,0.0,0.0,0.0,0.0,13.7,115.0,112.0,-10.7
11,T.J. McConnell,6:00,1.0,1.0,0.0,0.0,0.0,15.4,8.3,40.0,14.5,0.0,0.0,12.9,211.0,83.0,29.2
12,Jordan Nwora,5:41,0.357,0.357,0.286,0.0,19.2,0.0,8.8,21.6,0.0,11.7,0.0,47.6,93.0,109.0,-6.9
13,Ben Sheppard,5:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,119.0,-15.5
14,Jarace Walker,5:41,0.0,0.0,0.2,0.0,19.2,48.7,35.2,0.0,7.6,0.0,0.0,34.0,21.0,89.0,-32.6
15,Daniel Theis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
